S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        99,LEMF,                                        9.55,                                        0.08,                                        0.84,                                        9.40,                                        9.55,                                        9.40,"                                        2,200.00",                                        9.47,2023-07-20 15:00:00
                                        100,LICN,"                                        1,580.00",                                        -10.00,                                        -0.63,"                                        1,568.50","                                        1,585.00","                                        1,568.50","                                        2,755.00","                                        1,590.00",2023-07-20 15:00:00
                                        101,LLBS,                                        855.00,                                        -42.60,                                        -4.75,                                        880.00,                                        895.00,                                        845.00,"                                        3,276.00",                                        897.60,2023-07-20 15:00:00
                                        102,LUK,                                        9.33,                                        -0.16,                                        -1.69,                                        9.31,                                        9.48,                                        9.15,"                                        107,325.00",                                        9.49,2023-07-20 15:00:00
                                        103,MAKAR,                                        278.90,                                        4.00,                                        1.46,                                        269.50,                                        279.00,                                        262.70,"                                        11,582.00",                                        274.90,2023-07-20 15:00:00
                                        104,MBJC,                                        304.90,                                        3.90,                                        1.30,                                        296.00,                                        308.20,                                        296.00,"                                        24,069.00",                                        301.00,2023-07-20 15:00:00
                                        105,MBL,                                        253.90,                                        -0.10,                                        -0.04,                                        258.00,                                        258.00,                                        250.00,"                                        93,051.00",                                        254.00,2023-07-20 15:00:00
                                        106,MCHL,                                        233.30,                                        0.60,                                        0.26,                                        228.10,                                        236.60,                                        224.00,"                                        8,052.00",                                        232.70,2023-07-20 15:00:00
                                        107,MDB,                                        417.90,                                        0.20,                                        0.05,                                        418.00,                                        419.00,                                        413.00,"                                        7,604.00",                                        417.70,2023-07-20 15:00:00
                                        108,MEL,                                        217.00,                                        9.00,                                        4.33,                                        205.30,                                        228.80,                                        205.30,"                                        87,926.00",                                        208.00,2023-07-20 15:00:00
                                        109,MEN,"                                        1,011.00",                                        -2.90,                                        -0.29,                                        993.70,"                                        1,092.00",                                        975.00,"                                        23,899.00","                                        1,013.90",2023-07-20 15:00:00
                                        110,MERO,                                        672.00,                                        -5.00,                                        -0.74,                                        665.00,                                        683.00,                                        665.00,"                                        4,642.00",                                        677.00,2023-07-20 15:00:00
                                        111,MFIL,                                        554.00,                                        -3.50,                                        -0.63,                                        564.00,                                        564.00,                                        552.00,"                                        26,055.00",                                        557.50,2023-07-20 15:00:00
                                        112,MHCL,                                        214.00,                                        4.00,                                        1.90,                                        210.00,                                        221.20,                                        207.60,"                                        9,102.00",                                        210.00,2023-07-20 15:00:00
                                        113,MHL,                                        302.60,                                        -7.20,                                        -2.32,                                        303.70,                                        309.00,                                        299.00,"                                        3,669.00",                                        309.80,2023-07-20 15:00:00
                                        114,MHNL,                                        237.00,                                        4.50,                                        1.94,                                        227.90,                                        241.90,                                        227.90,"                                        18,370.00",                                        232.50,2023-07-20 15:00:00
                                        115,MKHC,                                        235.80,                                        -2.20,                                        -0.92,                                        242.60,                                        243.00,                                        228.70,"                                        9,123.00",                                        238.00,2023-07-20 15:00:00
                                        116,MKHL,                                        294.00,                                        -0.90,                                        -0.31,                                        295.00,                                        298.80,                                        284.00,"                                        10,589.00",                                        294.90,2023-07-20 15:00:00
                                        117,MKJC,                                        384.00,                                        -3.00,                                        -0.78,                                        394.00,                                        394.00,                                        373.50,"                                        1,491.00",                                        387.00,2023-07-20 15:00:00
                                        118,MKLB,                                        750.00,                                        -8.00,                                        -1.06,                                        747.00,                                        755.00,                                        740.00,                                        483.00,                                        758.00,2023-07-20 15:00:00
                                        119,MLBBL,                                        998.00,                                        -17.00,                                        -1.67,"                                        1,000.00","                                        1,000.00",                                        980.00,                                        354.00,"                                        1,015.00",2023-07-20 15:00:00
                                        120,MLBL,                                        352.50,                                        3.50,                                        1.00,                                        353.00,                                        354.90,                                        348.60,"                                        105,316.00",                                        349.00,2023-07-20 15:00:00
                                        121,MLBS,                                        800.00,                                        0.90,                                        0.11,                                        815.00,                                        815.00,                                        799.00,                                        740.00,                                        799.10,2023-07-20 15:00:00
                                        122,MLBSL,"                                        2,120.00",                                        10.00,                                        0.47,"                                        2,090.00","                                        2,120.00","                                        2,090.00",                                        356.00,"                                        2,110.00",2023-07-20 15:00:00
                                        123,MMF1,                                        7.38,                                        -0.40,                                        -5.14,                                        7.63,                                        7.78,                                        7.37,"                                        22,565.00",                                        7.78,2023-07-20 15:00:00
                                        124,MMFDB,                                        706.60,                                        -23.40,                                        -3.21,                                        720.00,                                        740.00,                                        706.60,"                                        2,619.00",                                        730.00,2023-07-20 15:00:00
                                        125,MNBBL,                                        422.00,                                        -2.50,                                        -0.59,                                        425.00,                                        427.50,                                        418.00,"                                        28,966.00",                                        424.50,2023-07-20 15:00:00
                                        126,MPFL,                                        417.00,                                        14.00,                                        3.47,                                        411.00,                                        425.00,                                        408.00,"                                        58,442.00",                                        403.00,2023-07-20 15:00:00
                                        127,MSLB,                                        857.50,                                        -17.50,                                        -2.00,                                        875.00,                                        890.00,                                        857.50,                                        777.00,                                        875.00,2023-07-20 15:00:00
                                        128,NABBC,                                        429.00,                                        -2.00,                                        -0.46,                                        437.90,                                        438.00,                                        407.00,"                                        34,297.00",                                        431.00,2023-07-20 15:00:00
                                        129,NABIL,                                        624.00,                                        7.20,                                        1.17,                                        620.00,                                        628.90,                                        620.00,"                                        124,603.00",                                        616.80,2023-07-20 15:00:00
                                        130,NADEP,                                        620.00,                                        -7.90,                                        -1.26,                                        630.00,                                        630.00,                                        612.10,"                                        7,003.00",                                        627.90,2023-07-20 15:00:00
                                        131,NBF2,                                        8.82,                                        -0.18,                                        -2.00,                                        9.17,                                        9.17,                                        8.82,"                                        13,092.00",                                        9.00,2023-07-20 15:00:00
                                        132,NBF3,                                        7.53,                                        -0.12,                                        -1.57,                                        7.65,                                        7.65,                                        7.53,"                                        18,911.00",                                        7.65,2023-07-20 15:00:00
                                        133,NBL,                                        259.90,                                        -4.10,                                        -1.55,                                        268.70,                                        268.70,                                        257.00,"                                        164,484.00",                                        264.00,2023-07-20 15:00:00
                                        134,NBLD85,                                        843.00,                                        0.00,                                        0.00,                                        843.00,                                        843.00,                                        843.00,                                        94.00,                                        843.00,2023-07-20 15:00:00
                                        135,NEF,                                        9.85,                                        0.23,                                        2.39,                                        9.80,                                        9.85,                                        9.71,"                                        17,083.00",                                        9.62,2023-07-20 15:00:00
                                        136,NESDO,"                                        2,164.00",                                        -19.00,                                        -0.87,"                                        2,183.00","                                        2,183.00","                                        2,140.10","                                        3,425.00","                                        2,183.00",2023-07-20 15:00:00
                                        137,NFS,                                        353.90,                                        -3.10,                                        -0.87,                                        364.00,                                        364.00,                                        352.40,"                                        43,586.00",                                        357.00,2023-07-20 15:00:00
                                        138,NGPL,                                        230.00,                                        -1.50,                                        -0.65,                                        232.00,                                        236.60,                                        226.40,"                                        89,818.00",                                        231.50,2023-07-20 15:00:00
                                        139,NHDL,                                        387.00,                                        3.00,                                        0.78,                                        390.00,                                        390.00,                                        371.00,"                                        7,954.00",                                        384.00,2023-07-20 15:00:00
                                        140,NHPC,                                        176.00,                                        0.00,                                        0.00,                                        178.00,                                        180.00,                                        173.50,"                                        72,055.00",                                        176.00,2023-07-20 15:00:00
                                        141,NIBD84,                                        800.00,                                        -15.00,                                        -1.84,                                        800.00,                                        800.00,                                        800.00,                                        50.00,                                        815.00,2023-07-20 15:00:00
                                        142,NIBLGF,                                        10.43,                                        -0.21,                                        -1.97,                                        10.43,                                        10.43,                                        10.43,                                        100.00,                                        10.64,2023-07-20 15:00:00
                                        143,NIBLPF,                                        9.36,                                        -0.09,                                        -0.95,                                        9.28,                                        9.36,                                        9.28,"                                        8,725.00",                                        9.45,2023-07-20 15:00:00
                                        144,NIBSF2,                                        7.90,                                        -0.16,                                        -1.99,                                        7.90,                                        8.06,                                        7.90,"                                        6,300.00",                                        8.06,2023-07-20 15:00:00
                                        145,NICA,                                        811.00,                                        1.00,                                        0.12,                                        817.00,                                        818.00,                                        806.20,"                                        67,669.00",                                        810.00,2023-07-20 15:00:00
                                        146,NICBF,                                        9.48,                                        0.13,                                        1.39,                                        9.18,                                        9.48,                                        9.18,"                                        9,330.00",                                        9.35,2023-07-20 15:00:00
                                        147,NICFC,                                        9.30,                                        -0.87,                                        -8.55,                                        9.97,                                        9.97,                                        9.30,"                                        1,550.00",                                        10.17,2023-07-20 15:00:00
                                        148,NICGF,                                        10.38,                                        0.12,                                        1.17,                                        10.11,                                        10.38,                                        10.11,"                                        54,779.00",                                        10.26,2023-07-20 15:00:00
                                        149,NICL,                                        825.20,                                        -15.30,                                        -1.82,                                        841.00,                                        842.90,                                        825.10,"                                        14,012.00",                                        840.50,2023-07-20 15:00:00
                                        150,NICLBSL,                                        738.00,                                        -4.00,                                        -0.54,                                        728.10,                                        750.70,                                        728.00,"                                        7,564.00",                                        742.00,2023-07-20 15:00:00
                                        151,NICSF,                                        8.77,                                        0.13,                                        1.50,                                        8.48,                                        8.77,                                        8.40,"                                        56,525.00",                                        8.64,2023-07-20 15:00:00
                                        152,NIFRA,                                        224.00,                                        -2.60,                                        -1.15,                                        226.00,                                        228.80,                                        224.00,"                                        120,572.00",                                        226.60,2023-07-20 15:00:00
                                        153,NIL,                                        885.00,                                        -15.00,                                        -1.67,                                        914.00,                                        914.00,                                        885.00,"                                        15,762.00",                                        900.00,2023-07-20 15:00:00
                                        154,NIMB,                                        198.00,                                        3.40,                                        1.75,                                        198.00,                                        199.90,                                        195.00,"                                        228,004.00",                                        194.60,2023-07-20 15:00:00
                                        155,NIMBPO,                                        161.10,                                        5.10,                                        3.27,                                        159.10,                                        164.00,                                        158.00,"                                        19,130.00",                                        156.00,2023-07-20 15:00:00
                                        156,NLBBL,                                        694.00,                                        -2.00,                                        -0.29,                                        685.00,                                        694.00,                                        675.00,"                                        4,980.00",                                        696.00,2023-07-20 15:00:00
                                        157,NLG,                                        851.00,                                        -9.00,                                        -1.05,                                        859.70,                                        864.50,                                        846.60,"                                        19,287.00",                                        860.00,2023-07-20 15:00:00
                                        158,NLIC,                                        755.00,                                        -14.00,                                        -1.82,                                        770.00,                                        775.00,                                        750.00,"                                        75,277.00",                                        769.00,2023-07-20 15:00:00
                                        159,NLICL,                                        653.10,                                        -1.90,                                        -0.29,                                        655.10,                                        663.80,                                        646.00,"                                        16,874.00",                                        655.00,2023-07-20 15:00:00
                                        160,NMB,                                        239.60,                                        -2.40,                                        -0.99,                                        245.00,                                        246.00,                                        239.20,"                                        97,009.00",                                        242.00,2023-07-20 15:00:00
                                        161,NMB50,                                        10.60,                                        -0.05,                                        -0.47,                                        10.60,                                        10.60,                                        10.52,"                                        8,960.00",                                        10.65,2023-07-20 15:00:00
                                        162,NMBHF1,                                        10.78,                                        -0.17,                                        -1.55,                                        10.74,                                        10.78,                                        10.74,"                                        4,444.00",                                        10.95,2023-07-20 15:00:00
